occupation,prob_computerization,tot_employed,women,black,asian,hisp_latino
Food Preparation Workers,0.87163,1000,58.2,14.9,6.7,29.3
Bartenders,0.7682,454,56.1,7.4,2.5,17
Combined Food Preparation and Serving Workers Including Fast Food,0.92427,420,63.5,18,3.3,20.2
Counter Attendants Cafeteria Food Concession and Coffee Shop,0.95684,214,67.2,11.4,5.7,18
Waiters and Waitresses,0.93714,2085,70,9.4,6.6,20.9
Food Servers Nonrestaurant,0.8613,213,71.3,16.3,5.7,22.5
Dining Room and Cafeteria Attendants and Bartender Helpers,0.91188,331,42.9,15.3,6.4,27.8
Dishwashers,0.76952,319,18,16.3,5.9,35.4
Hosts and Hostesses Restaurant Lounge and Coffee Shop,0.97476,319,80.8,8.8,3.8,16.3
First-Line Supervisors of Housekeeping and Janitorial Workers,0.94439,323,39.9,16,1.2,28.4
First-Line Supervisors of Landscaping Lawn Service and Groundskeeping Workers,0.57173,231,4.6,5.1,1,24.6
Maids and Housekeeping Cleaners,0.68793,1485,89.6,17.3,4.2,47.3
Pest Control Workers,0.6603,79,2.6,6.2,0.2,14.6
First-Line Supervisors of Personal Service Workers,0.075515,191,70.5,9.2,15.5,10.6
Animal Trainers,0.10152,61,47.3,1.2,1.3,11.7
Nonfarm Animal Caretakers,0.81797,233,76.9,4.7,2.4,11.7
Motion Picture Projectionists,0.97123,6,,,,
Ushers Lobby Attendants and Ticket Takers,0.96357,40,,,,
Barbers,0.79731,126,11.7,39.9,3.3,19.6
Hairdressers Hairstylists and Cosmetologists,0.10715,806,92.4,12.4,5.2,16.5
Childcare Workers,0.084206,1280,94.4,17.1,2.8,20.9
Personal Care Aides,0.73599,1396,84.9,24.4,10.2,20.6
Residential Advisors,0.06388,42,,,,
First-Line Supervisors of Retail Sales Workers,0.27918,3282,44.1,8.9,6.1,14.7
First-Line Supervisors of Non-Retail Sales Workers,0.075117,1180,26.8,6.8,6.7,13.6
Cashiers,0.97052,3260,73.2,17.8,7.2,20.7
Counter and Rental Clerks,0.97227,105,46.6,14,3.2,22.6
Parts Salespersons,0.97843,117,13.8,7.5,3.1,17.9
Retail Salespersons,0.92314,3312,48.4,12.3,5.3,18.2
Advertising Sales Agents,0.5418,222,45.5,12,4,11.7
Insurance Sales Agents,0.91901,630,46.5,11,4.6,11.7
Securities Commodities and Financial Services Sales Agents,0.015762,263,30.4,7.1,7.2,8.9
Travel Agents,0.099176,83,84.7,2.6,10.3,11.3
Sales Engineers,0.0041398,43,,,,
Telemarketers,0.99024,61,64,34.9,4.8,19.7
Door-to-Door Sales Workers News and Street Vendors and Related Workers,0.94354,160,62.5,9.1,3.4,22.3
First-Line Supervisors of Office and Administrative Support Workers,0.014467,1352,68.5,11.1,4.6,13.6
Switchboard Operators Including Answering Service,0.9561,25,,,,
Telephone Operators,0.97317,41,,,,
Bill and Account Collectors,0.94669,152,67.4,25.1,2,19.3
Billing and Posting Clerks,0.96482,452,89,14,4.6,15.8
Bookkeeping Accounting and Auditing Clerks,0.97607,1137,88.5,7.7,4.9,11.9
Gaming Cage Workers,0.38911,12,,,,
Payroll and Timekeeping Clerks,0.97443,129,90.7,10.4,8.1,13.2
Procurement Clerks,0.97951,27,,,,
Tellers,0.98276,342,81.7,12.5,5.3,17.5
Brokerage Clerks,0.98393,3,,,,
Correspondence Clerks,0.86488,7,,,,
Court Municipal and License Clerks,0.45526,80,71.1,18.9,2.4,19.6
Credit Authorizers Checkers and Clerks,0.97451,44,,,,
Customer Service Representatives,0.55149,2388,65,16.9,4.5,18.3
Eligibility Interviewers Government Programs,0.69552,77,75.2,27.6,6.6,19.4
File Clerks,0.97269,183,82.7,21.2,5.7,11.6
Hotel Motel and Resort Desk Clerks,0.94317,138,66.1,17.2,9.7,21.5
Interviewers Except Eligibility and Loan,0.9418,152,88.1,20.7,5.2,11.6
Library Assistants Clerical,0.94853,87,86.2,12.5,1.4,10.5
Loan Interviewers and Clerks,0.91861,132,79,10.8,5.4,13.8
New Accounts Clerks,0.98669,24,,,,
Order Clerks,0.98372,105,57.3,8.1,4.1,21.5
Human Resources Assistants Except Payroll and Timekeeping,0.8969,42,,,,
Receptionists and Information Clerks,0.95556,1331,90.1,13,3.7,18.4
Reservation and Transportation Ticket Agents and Travel Clerks,0.61347,144,55.1,24.8,8.2,20
Cargo and Freight Agents,0.98715,27,,,,
Couriers and Messengers,0.94141,227,18.4,22.1,6,19.3
Meter Readers Utilities,0.84989,31,,,,
Postal Service Clerks,0.95405,121,53.7,23.9,12.1,8.7
Postal Service Mail Carriers,0.67514,320,38.9,18.6,8.3,12.3
Postal Service Mail Sorters Processors and Processing Machine Operators,0.78504,60,42.4,34.3,7.5,9.7
Production Planning and Expediting Clerks,0.87759,245,51.5,8.6,4.2,9.1
Shipping Receiving and Traffic Clerks,0.97857,546,33.9,16.1,2.2,21.7
Stock Clerks and Order Fillers,0.64019,1530,37,18.8,4.8,19.5
Weighers Measurers Checkers and Samplers Recordkeeping,0.94597,51,52,17.8,1.7,19.2
Computer Operators,0.77756,91,50.8,13.8,4.1,14.3
Data Entry Keyers,0.98505,272,77.6,13.4,9.1,20.9
Word Processors and Typists,0.80623,82,88.9,14.3,4.1,11.2
Desktop Publishers,0.15929,0,,,,
Insurance Claims and Policy Processing Clerks,0.98448,273,85.2,17.9,6.7,11.4
Mail Clerks and Mail Machine Operators Except Postal Service,0.93625,77,43.5,21.7,1,21.2
Office Clerks General,0.95558,1295,82.8,14.6,6.9,16.9
Office Machine Operators Except Computer,0.91672,35,,,,
Proofreaders and Copy Markers,0.84443,12,,,,
Statistical Assistants,0.66227,9,,,,
First-Line Supervisors of Farming Fishing and Forestry Workers,0.56511,48,,,,
Agricultural Inspectors,0.94451,19,,,,
Animal Breeders,0.95116,7,,,,
Graders and Sorters Agricultural Products,0.40681,85,65.5,20.4,6.3,40.7
Fishers and Related Fishing Workers,0.82533,29,,,,
Forest and Conservation Workers,0.86745,21,,,,
First-Line Supervisors of Construction Trades and Extraction Workers,0.17336,680,2.6,5.5,1.5,22.5
Boilermakers,0.67975,23,,,,
Carpenters,0.72398,1359,2.1,5.4,1.2,33.9
Construction Laborers,0.87676,1801,3.5,8.1,2.2,45.5
Paving Surfacing and Tamping Equipment Operators,0.83469,13,,,,
Pile-Driver Operators,0.81952,2,,,,
Operating Engineers and Other Construction Equipment Operators,0.94921,351,2.3,8.7,0.2,19.3
Electricians,0.14768,774,3,5.9,3.1,16.8
Glaziers,0.72841,54,1.4,5,0,21.2
Painters Construction and Maintenance,0.74916,612,6.2,5.7,3.6,50.7
Paperhangers,0.86958,4,,,,
Plasterers and Stucco Masons,0.83662,34,,,,
Reinforcing Iron and Rebar Workers,0.89724,12,,,,
Roofers,0.89738,230,1.7,4.9,1.1,51.7
Sheet Metal Workers,0.81802,126,2.9,6.7,2.1,16.7
Structural Iron and Steel Workers,0.8254,60,2,10.7,1.9,10.8
Construction and Building Inspectors,0.63316,93,6.4,11.8,2.4,9.9
Elevator Installers and Repairers,0.38798,44,,,,
Fence Erectors,0.92167,43,,,,
Hazardous Materials Removal Workers,0.53472,34,,,,
Highway Maintenance Workers,0.87427,92,3.2,9.6,0.2,15.1
Rail-Track Laying and Maintenance Equipment Operators,0.89098,10,,,,
Septic Tank Servicers and Sewer Pipe Cleaners,0.83111,10,,,,
Earth Drillers Except Oil and Gas,0.85174,33,,,,
Explosives Workers Ordnance Handling Experts and Blasters,0.48047,11,,,,
Roof Bolters Mining,0.49033,4,,,,
Roustabouts Oil and Gas,0.67586,6,,,,
Helpers--Extraction Workers,0.37305,4,,,,
First-Line Supervisors of Mechanics Installers and Repairers,0.0029784,264,10.1,10.2,2,10.4
Computer Automated Teller and Office Machine Repairers,0.73564,212,9.6,13,10,12
Avionics Technicians,0.70258,7,,,,
Electric Motor Power Tool and Related Repairers,0.76183,25,,,,
Electrical and Electronics Installers and Repairers Transportation Equipment,0.91176,2,,,,
Electronic Equipment Installers and Repairers Motor Vehicles,0.60556,10,,,,
Electronic Home Entertainment Equipment Installers and Repairers,0.64957,44,,,,
Security and Fire Alarm Systems Installers,0.81581,79,1.8,5.6,4.2,24.2
Aircraft Mechanics and Service Technicians,0.70552,140,1.7,3.3,6,18.5
Automotive Body and Related Repairers,0.9135,147,3.6,5.2,3,24.1
Automotive Glass Installers and Repairers,0.54631,22,,,,
Automotive Service Technicians and Mechanics,0.59361,879,1.7,9.6,4.3,23.3
Bus and Truck Mechanics and Diesel Engine Specialists,0.7322,342,0.8,7,1.9,16.1
Heating Air Conditioning and Refrigeration Mechanics and Installers,0.64969,427,1.4,7,1.3,21.9
Home Appliance Repairers,0.72249,49,,,,
Maintenance Workers Machinery,0.86479,21,,,,
Millwrights,0.58686,40,,,,
Electrical Power-Line Installers and Repairers,0.09661,136,0.6,7.7,0.9,10.5
Telecommunications Line Installers and Repairers,0.49034,171,2.5,16.1,5.2,20.9
Maintenance and Repair Workers General,0.63563,552,3,10.6,2.2,19.8
Coin Vending and Amusement Machine Servicers and Repairers,0.94055,38,,,,
Commercial Divers,0.17905,1,,,,
Locksmiths and Safe Repairers,0.76534,30,,,,
Manufactured Building and Mobile Home Installers,0.17921,10,,,,
Riggers,0.89082,13,,,,
Signal and Track Switch Repairers,0.90488,7,,,,
Helpers--Installation Maintenance and Repair Workers,0.79127,19,,,,
First-Line Supervisors of Production and Operating Workers,0.015511,763,18.7,9.7,3.9,15
Aircraft Structure Surfaces Rigging and Systems Assemblers,0.79374,5,,,,
Engine and Other Machine Assemblers,0.81514,9,,,,
Structural Metal Fabricators and Fitters,0.40787,22,,,,
Bakers,0.88775,224,64.8,13.9,7.2,27.3
Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders,0.90887,24,,,,
Food Batchmakers,0.70043,107,58.7,14.2,3.1,30.6
Food Cooking Machine Operators and Tenders,0.61408,10,,,,
Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic,0.91495,13,,,,
Forging Machine Setters Operators and Tenders Metal and Plastic,0.93482,5,,,,
Rolling Machine Setters Operators and Tenders Metal and Plastic,0.83454,13,,,,
Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic,0.77586,83,18.3,5.8,0.6,22.3
Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic,0.95397,48,,,,
Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic,0.83729,14,,,,
