"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"259","Earth Drillers Except Oil and Gas",0.85174,33,"Ð","Ð","Ð","Ð"
"260","Explosives Workers Ordnance Handling Experts and Blasters",0.48047,11,"Ð","Ð","Ð","Ð"
"261","Roof Bolters Mining",0.49033,4,"Ð","Ð","Ð","Ð"
"262","Roustabouts Oil and Gas",0.67586,6,"Ð","Ð","Ð","Ð"
"263","Helpers--Extraction Workers",0.37305,4,"Ð","Ð","Ð","Ð"
"264","First-Line Supervisors of Mechanics Installers and Repairers",0.0029784,264,"10.1","10.2","2.0","10.4"
"265","Computer Automated Teller and Office Machine Repairers",0.73564,212,"9.6","13.0","10.0","12.0"
"266","Avionics Technicians",0.70258,7,"Ð","Ð","Ð","Ð"
"267","Electric Motor Power Tool and Related Repairers",0.76183,25,"Ð","Ð","Ð","Ð"
"268","Electrical and Electronics Installers and Repairers Transportation Equipment",0.91176,2,"Ð","Ð","Ð","Ð"
"269","Electronic Equipment Installers and Repairers Motor Vehicles",0.60556,10,"Ð","Ð","Ð","Ð"
"270","Electronic Home Entertainment Equipment Installers and Repairers",0.64957,44,"Ð","Ð","Ð","Ð"
"271","Security and Fire Alarm Systems Installers",0.81581,79,"1.8","5.6","4.2","24.2"
"272","Aircraft Mechanics and Service Technicians",0.70552,140,"1.7","3.3","6.0","18.5"
"273","Automotive Body and Related Repairers",0.9135,147,"3.6","5.2","3.0","24.1"
"274","Automotive Glass Installers and Repairers",0.54631,22,"Ð","Ð","Ð","Ð"
"275","Automotive Service Technicians and Mechanics",0.59361,879,"1.7","9.6","4.3","23.3"
"276","Bus and Truck Mechanics and Diesel Engine Specialists",0.7322,342,"0.8","7.0","1.9","16.1"
"277","Heating Air Conditioning and Refrigeration Mechanics and Installers",0.64969,427,"1.4","7.0","1.3","21.9"
"278","Home Appliance Repairers",0.72249,49,"Ð","Ð","Ð","Ð"
"279","Maintenance Workers Machinery",0.86479,21,"Ð","Ð","Ð","Ð"
"280","Millwrights",0.58686,40,"Ð","Ð","Ð","Ð"
"281","Electrical Power-Line Installers and Repairers",0.09661,136,"0.6","7.7","0.9","10.5"
