"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"325","Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers",0.88066,0,"Ð","Ð","Ð","Ð"
"326","Fabric and Apparel Patternmakers",0.0049209,1,"Ð","Ð","Ð","Ð"
"327","Upholsterers",0.38608,36,"Ð","Ð","Ð","Ð"
"328","Cabinetmakers and Bench Carpenters",0.92046,56,"11.9","6.7","0.0","15.7"
"329","Furniture Finishers",0.87052,19,"Ð","Ð","Ð","Ð"
"330","Sawing Machine Setters Operators and Tenders Wood",0.86135,35,"Ð","Ð","Ð","Ð"
"331","Woodworking Machine Setters Operators and Tenders Except Sawing",0.96548,23,"Ð","Ð","Ð","Ð"
"332","Stationary Engineers and Boiler Operators",0.89205,78,"4.7","9.6","5.0","14.1"
"333","Water and Wastewater Treatment Plant and System Operators",0.61379,77,"5.2","13.9","2.1","6.8"
"334","Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders",0.93376,29,"Ð","Ð","Ð","Ð"
"335","Furnace Kiln Oven Drier and Kettle Operators and Tenders",0.36717,16,"Ð","Ð","Ð","Ð"
"336","Inspectors Testers Sorters Samplers and Weighers",0.9759,734,"37.9","12.8","7.4","17.7"
"337","Jewelers and Precious Stone and Metal Workers",0.95461,40,"Ð","Ð","Ð","Ð"
"338","Packaging and Filling Machine Operators and Tenders",0.98037,236,"50.5","16.1","6.2","43.1"
"339","Painting Coating and Decorating Workers",0.92065,173,"8.9","8.8","1.8","28.4"
"340","Semiconductor Processors",0.87878,2,"Ð","Ð","Ð","Ð"
"341","Photographic Process Workers and Processing Machine Operators",0.98675,29,"Ð","Ð","Ð","Ð"
"342","Adhesive Bonding Machine Operators and Tenders",0.95276,11,"Ð","Ð","Ð","Ð"
"343","Cleaning Washing and Metal Pickling Equipment Operators and Tenders",0.80886,3,"Ð","Ð","Ð","Ð"
"344","Cooling and Freezing Equipment Operators and Tenders",0.92582,0,"Ð","Ð","Ð","Ð"
"345","Etchers and Engravers",0.9824,6,"Ð","Ð","Ð","Ð"
"346","Molders Shapers and Casters Except Metal and Plastic",0.90129,24,"Ð","Ð","Ð","Ð"
"347","Paper Goods Machine Setters Operators and Tenders",0.66631,33,"Ð","Ð","Ð","Ð"
"348","Tire Builders",0.94334,10,"Ð","Ð","Ð","Ð"
"349","Helpers--Production Workers",0.66186,40,"Ð","Ð","Ð","Ð"
"350","Flight Attendants",0.3516,93,"75.8","13.7","6.4","16.1"
"351","Ambulance Drivers and Attendants Except Emergency Medical Technicians",0.25245,19,"Ð","Ð","Ð","Ð"
"352","Taxi Drivers and Chauffeurs",0.89401,500,"14.3","28.7","16.0","12.6"
"353","Railroad Brake Signal and Switch Operators",0.82558,2,"Ð","Ð","Ð","Ð"
"354","Railroad Conductors and Yardmasters",0.82607,55,"4.7","21.3","4.3","6.0"
"355","Sailors and Marine Oilers",0.82872,16,"Ð","Ð","Ð","Ð"
"356","Ship Engineers",0.041416,4,"Ð","Ð","Ð","Ð"
"357","Bridge and Lock Tenders",0.96516,2,"Ð","Ð","Ð","Ð"
"358","Parking Lot Attendants",0.87412,89,"10.7","24.3","7.3","28.5"
"359","Automotive and Watercraft Service Attendants",0.83103,97,"8.6","9.9","6.4","18.1"
"360","Transportation Inspectors",0.89926,26,"Ð","Ð","Ð","Ð"
"361","Transportation Attendants Except Flight Attendants",0.75182,41,"Ð","Ð","Ð","Ð"
"362","Conveyor Operators and Tenders",0.92718,3,"Ð","Ð","Ð","Ð"
"363","Crane and Tower Operators",0.89775,63,"0.8","13.0","0.5","13.7"
"364","Hoist and Winch Operators",0.65101,9,"Ð","Ð","Ð","Ð"
"365","Industrial Truck and Tractor Operators",0.93482,605,"9.6","26.0","2.3","28.0"
"366","Cleaners of Vehicles and Equipment",0.36756,328,"13.0","18.0","2.5","29.4"
"367","Laborers and Freight Stock and Material Movers Hand",0.84513,1900,"18.1","19.9","3.2","23.4"
"368","Machine Feeders and Offbearers",0.93058,30,"Ð","Ð","Ð","Ð"
"369","Packers and Packagers Hand",0.37889,550,"54.5","18.9","7.1","43.6"
"370","Refuse and Recyclable Material Collectors",0.93384,101,"8.6","16.4","0.5","23.5"
"371","Mine Shuttle Car Operators",0.37495,0,"Ð","Ð","Ð","Ð"
"372","Tank Car Truck and Ship Loaders",0.7206,4,"Ð","Ð","Ð","Ð"
