occupation,tot_employed,women,black,asian,hisp_latino
Miscellaneous agricultural workers,818,21.0,2.7,1.3,52.5
Fishers and related fishing workers,29,Ð,Ð,Ð,Ð
Hunters and trappers,1,Ð,Ð,Ð,Ð
Forest and conservation workers,21,Ð,Ð,Ð,Ð
Logging workers,68,0.9,11.2,0.0,5.1
Construction and extraction occupations,"7,929",3.0,6.8,1.7,34.0
First-line supervisors of construction trades and extraction workers,680,2.6,5.5,1.5,22.5
Boilermakers,23,Ð,Ð,Ð,Ð
"Brickmasons, blockmasons, and stonemasons",160,0.5,6.4,0.5,45.5
Carpenters,"1,359",2.1,5.4,1.2,33.9
"Carpet, floor, and tile installers and finishers",168,1.9,3.5,0.9,50.8
"Cement masons, concrete finishers, and terrazzo workers",56,2.2,10.5,1.6,48.8
Construction laborers,"1,801",3.5,8.1,2.2,45.5
"Paving, surfacing, and tamping equipment operators",13,Ð,Ð,Ð,Ð
Pile-driver operators,2,Ð,Ð,Ð,Ð
Operating engineers and other construction equipment operators,351,2.3,8.7,0.2,19.3
"Drywall installers, ceiling tile installers, and tapers",180,1.1,6.7,0.5,62.7
Electricians,774,3.0,5.9,3.1,16.8
Glaziers,54,1.4,5.0,0.0,21.2
Insulation workers,50,5.2,7.7,0.5,33.8
"Painters, construction and maintenance",612,6.2,5.7,3.6,50.7
Paperhangers,4,Ð,Ð,Ð,Ð
"Pipelayers, plumbers, pipefitters, and steamfitters",583,1.4,7.5,0.9,21.2
Plasterers and stucco masons,34,Ð,Ð,Ð,Ð
Reinforcing iron and rebar workers,12,Ð,Ð,Ð,Ð
Roofers,230,1.7,4.9,1.1,51.7
Sheet metal workers,126,2.9,6.7,2.1,16.7
Structural iron and steel workers,60,2.0,10.7,1.9,10.8
Solar photovoltaic installers,10,Ð,Ð,Ð,Ð
"Helpers, construction trades",57,6.2,9.2,0.9,42.5
Construction and building inspectors,93,6.4,11.8,2.4,9.9
Elevator installers and repairers,44,Ð,Ð,Ð,Ð
Fence erectors,43,Ð,Ð,Ð,Ð
Hazardous materials removal workers,34,Ð,Ð,Ð,Ð
Highway maintenance workers,92,3.2,9.6,0.2,15.1
Rail-track laying and maintenance equipment operators,10,Ð,Ð,Ð,Ð
Septic tank servicers and sewer pipe cleaners,10,Ð,Ð,Ð,Ð
Miscellaneous construction and related workers,34,Ð,Ð,Ð,Ð
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",25,Ð,Ð,Ð,Ð
"Earth drillers, except oil and gas",33,Ð,Ð,Ð,Ð
"Explosives workers, ordnance handling experts, and blasters",11,Ð,Ð,Ð,Ð
Mining machine operators,55,1.5,7.1,0.0,11.6
